feature_source,feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,half_life_hours,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
standard,all,1500.0,0.2,0.0,0.25,240.0,389,254,7.94,7.93661892853994,0.0952493521282442,0.07254820511774653,0.06132446403174055
standard,all,1500.0,0.2,0.0,0.4,240.0,389,254,7.94,7.93661892853994,0.0952493521282442,0.07254820511774653,0.06132446403174055
standard,all,1000.0,0.22,0.0,0.08,168.0,389,254,7.94,7.936628145583513,0.0950644841911302,0.07257423720979786,0.06148355605612232
standard,all,1000.0,0.25,0.0,0.25,72.0,389,254,7.94,7.936652589311799,0.09435569613632379,0.07274056238421168,0.06202669832754074
standard,all,1000.0,0.25,0.0,0.4,72.0,389,254,7.94,7.936652589311799,0.09435569613632379,0.07274056238421168,0.06202669832754074
standard,all,1000.0,0.2,0.0,0.15,240.0,389,254,7.94,7.936674749415373,0.09525394658475016,0.0725526549235701,0.06131697125939325
standard,all,1500.0,0.12,0.0,0.15,120.0,389,254,7.94,7.9366913013113605,0.09523184933217488,0.07257999496805984,0.06131218851207694
standard,all,1500.0,0.12,0.0,0.25,120.0,389,254,7.94,7.9366913013113605,0.09523184933217488,0.07257999496805984,0.06131218851207694
standard,all,1500.0,0.12,0.0,0.4,120.0,389,254,7.94,7.9366913013113605,0.09523184933217488,0.07257999496805984,0.06131218851207694
standard,all,1500.0,0.25,0.25,0.15,72.0,389,254,7.94,7.936731304815803,0.09445616616618356,0.07274202440233421,0.06192695410380799
standard,all,1500.0,0.25,0.25,0.25,72.0,389,254,7.94,7.936731304815803,0.09445616616618356,0.07274202440233421,0.06192695410380799
standard,all,1500.0,0.25,0.25,0.4,72.0,389,254,7.94,7.936731304815803,0.09445616616618356,0.07274202440233421,0.06192695410380799
standard,all,1500.0,0.15,0.0,0.08,168.0,389,254,7.94,7.9368048914101985,0.09524839580977577,0.0725559577089469,0.061322836423134804
standard,all,1500.0,0.22,0.0,0.15,240.0,389,254,7.94,7.936901018059261,0.09521474138217954,0.07254978496077504,0.0613653353457562
