at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.918820139221006
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918832645726215
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.918836323153289
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.918861408126809
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918866470980657
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918915202139254
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.918931051348221
targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.919055300827527
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.919078494109266
hazard_targetwise,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919084280094202
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.919096931923386
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.919106489195427
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.919114090469903
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.919244808275128
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.919245098033056
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919250160904889
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.9192723700402645
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.9192742037159425
base_0.25+targetwise_0.75,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919302763366387
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.919332993477579
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9193514947220045
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.919352931844337
targetwise,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.919384257207396
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.919400226099627
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919401663222603
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.9194202466323915
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.919433353519989
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.919448957499231
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.919550138479203
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.919603160763078
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.919618036290421
hazard_targetwise,base_0.25+targetwise_0.75,targetwise,7.92,7.919623099179773
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.919698015451937
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.919760569346512
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.91976904237135
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.919783917921563
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.919788980818687
hazard_targetwise,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.919831706298575
base_0.25+targetwise_0.75,targetwise,targetwise,7.92,7.919841583542819
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919890315141731
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.919902775761956
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.919915282392642
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.919916919644043
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.919936008542239
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.91993904676267
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.9199877784055905
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.92015685804095
targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.920213778689278
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.920322740500296
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.920356844812049
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.920415635163458
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.920425512461149
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.920432683927547
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.920474244323739
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.920505934936073
hazard_targetwise,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.920685805159278
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,targetwise,7.92,7.920695682481682
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.920851688431663
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.920861565769255
base_0.25+targetwise_0.75,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.92090429167378
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.9209753618435075
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.920987868598495
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.920999567187859
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.92142943540648
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.921488226342177
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.921515336645468
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.921758399023138
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.921924283944204
base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,7.92,7.922072164170113
base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,7.92,7.922587938753822
