at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.8589045979986505
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.8589082231100615
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858948093262397
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858953785526124
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.858963320873058
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858974798831597
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise,7.86,7.858976034670273
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,hazard_targetwise,7.86,7.8589903139682615
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,hazard_targetwise,7.86,7.858995133759938
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.85902285525697
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.8590249203631
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.859086488567502
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+targetwise_0.20,7.86,7.859088811973347
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.859109063955372
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise,7.86,7.859110659707014
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.859130799892844
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.859133065740043
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.859154079080444
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,hazard_targetwise,7.86,7.859168579561393
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,7.86,7.859188100126202
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.859204200695258
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,hazard_targetwise,7.86,7.859224008993748
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.859265769002022
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.80+targetwise_0.20,7.86,7.859293278279278
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,hazard_targetwise,7.86,7.859347860132337
temporal_targetwise_0.80+temporal_ridge_0.20,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.80+targetwise_0.20,7.86,7.859371077086363
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,7.86,7.859536744687645
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.861915671412989
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.861925207021758
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.861936685295512
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise,7.86,7.861937921168138
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.861986808203381
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862048378098496
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,7.86,7.862062767738465
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862082908475543
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862096463854296
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862117477772057
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,hazard_targetwise,7.86,7.862130471346651
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.862167600763947
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862229170762269
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise,7.86,7.862267239682086
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862287380457333
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862302486041228
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,hazard_targetwise,7.86,7.862311264148025
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,7.86,7.862332974432373
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862348141234254
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.8624140324550895
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise,7.86,7.862471712013308
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862475602594077
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,7.86,7.862488864381079
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862491852826725
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862506958439264
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862552613718843
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,hazard_targetwise,7.86,7.862557696167394
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.862627378211862
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise,7.86,7.862676184732131
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+targetwise_0.20,7.86,7.8626933371324315
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.86269632558374
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862711431224922
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862713589791248
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.8627199762943745
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862729511974265
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862740990333594
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise,7.86,7.862742226215436
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862757086591032
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862762545155477
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862772080839142
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862783559202979
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise,7.86,7.862784795085331
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.862791113615231
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,hazard_targetwise,7.86,7.8628041287497785
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.862831851225782
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.8628336825044
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862852683969446
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,7.86,7.86285471630126
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,7.86,7.862867073716728
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.8628682205788
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862877756271791
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862887214603975
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862889234646886
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862895252882929
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+targetwise_0.20,7.86,7.862897810271385
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.862900770083825
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,7.86,7.862909642635896
temporal_targetwise_0.65+temporal_ridge_0.35,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.862918062968616
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.862921784158261
temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.862929783531092
temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,hazard_targetwise,7.86,7.862934777829755
