rate_smoothing_weeks,publisher_smoothing,hour_smoothing,cpm_smoothing,session_power,hazard_blend_weight,selection_metric_percent,selection_metric_raw_percent
0.5,100.0,100.0,1000.0,1.0,0.1,9.72,9.715625549943518
3.0,25.0,25.0,1000.0,0.5,0.08,9.72,9.715907873804364
3.0,25.0,25.0,0.0,0.5,0.08,9.72,9.717382908182293
0.5,100.0,25.0,1000.0,1.0,0.1,9.75,9.748401111920968
0.5,100.0,25.0,0.0,1.0,0.1,9.75,9.75056269396779
1.5,25.0,100.0,1000.0,0.5,0.1,9.81,9.81386467309795
1.5,25.0,100.0,0.0,0.5,0.1,9.82,9.815812357227305
1.5,25.0,25.0,0.0,0.5,0.1,9.85,9.850297541697216
1.5,25.0,25.0,1000.0,0.5,0.1,9.85,9.854201137530683
3.0,100.0,100.0,1000.0,0.5,0.08,9.86,9.864414822488188
3.0,100.0,100.0,0.0,0.5,0.08,9.87,9.865640380137286
3.0,25.0,100.0,1000.0,1.0,0.08,9.88,9.87523455237229
3.0,25.0,100.0,0.0,1.0,0.08,9.88,9.875956061198732
3.0,100.0,25.0,1000.0,0.5,0.08,9.88,9.87866751088573
3.0,100.0,25.0,0.0,0.5,0.08,9.88,9.879136224199915
3.0,25.0,25.0,1000.0,1.0,0.08,9.89,9.891764240267475
3.0,25.0,25.0,0.0,1.0,0.08,9.89,9.892395610719952
3.0,100.0,100.0,0.0,1.0,0.08,10.02,10.022929869844145
3.0,100.0,100.0,1000.0,1.0,0.08,10.02,10.023690879862324
3.0,100.0,25.0,0.0,1.0,0.08,10.04,10.039291364269376
3.0,100.0,25.0,1000.0,1.0,0.08,10.04,10.040041102217344
1.5,100.0,100.0,1000.0,0.5,0.1,10.04,10.040165363816044
1.5,100.0,100.0,0.0,0.5,0.1,10.04,10.043320001825373
1.5,25.0,100.0,1000.0,1.0,0.1,10.05,10.051697065693798
1.5,25.0,100.0,0.0,1.0,0.1,10.05,10.053414094204527
1.5,100.0,25.0,0.0,0.5,0.1,10.08,10.080829379278743
1.5,25.0,25.0,1000.0,1.0,0.1,10.09,10.086324664205048
1.5,100.0,25.0,1000.0,0.5,0.1,10.09,10.086440832173782
1.5,25.0,25.0,0.0,1.0,0.1,10.09,10.087354188104737
0.5,25.0,100.0,1000.0,0.5,0.15,10.25,10.245753106458967
0.5,25.0,100.0,0.0,0.5,0.15,10.25,10.248678286066504
3.0,25.0,100.0,1000.0,0.5,0.1,10.26,10.256137210935034
3.0,25.0,100.0,0.0,0.5,0.1,10.26,10.257140268380628
1.5,100.0,100.0,0.0,1.0,0.1,10.27,10.270762982552718
1.5,100.0,100.0,1000.0,1.0,0.1,10.27,10.272285418933125
1.5,100.0,25.0,0.0,1.0,0.1,10.28,10.282145552790523
3.0,25.0,25.0,1000.0,0.5,0.1,10.28,10.28279689747369
1.5,100.0,25.0,1000.0,1.0,0.1,10.28,10.2840176443312
3.0,25.0,25.0,0.0,0.5,0.1,10.28,10.284738270232463
0.5,25.0,25.0,1000.0,0.5,0.15,10.29,10.286584815840127
0.5,25.0,25.0,0.0,0.5,0.15,10.29,10.287401804382345
3.0,100.0,100.0,1000.0,0.5,0.1,10.48,10.478828863733746
3.0,100.0,100.0,0.0,0.5,0.1,10.48,10.480469652244873
3.0,100.0,25.0,1000.0,0.5,0.1,10.5,10.496695174449666
3.0,100.0,25.0,0.0,0.5,0.1,10.5,10.497274230175835
3.0,25.0,100.0,1000.0,1.0,0.1,10.5,10.498169031926686
3.0,25.0,100.0,0.0,1.0,0.1,10.5,10.498576112080027
3.0,25.0,25.0,1000.0,1.0,0.1,10.52,10.519053469570272
3.0,25.0,25.0,0.0,1.0,0.1,10.52,10.519329191754267
0.5,25.0,100.0,1000.0,1.0,0.15,10.6,10.597072960328324
0.5,25.0,100.0,0.0,1.0,0.15,10.6,10.597642954311404
0.5,25.0,25.0,1000.0,1.0,0.15,10.63,10.634429588135008
0.5,25.0,25.0,0.0,1.0,0.15,10.63,10.634700783660378
0.5,100.0,100.0,1000.0,0.5,0.15,10.66,10.66251454830236
0.5,100.0,100.0,0.0,0.5,0.15,10.66,10.664649604733146
3.0,100.0,100.0,0.0,1.0,0.1,10.72,10.71509632581047
3.0,100.0,100.0,1000.0,1.0,0.1,10.72,10.716312708527486
0.5,100.0,25.0,1000.0,0.5,0.15,10.73,10.727025481867724
0.5,100.0,25.0,0.0,0.5,0.15,10.73,10.72888523947617
3.0,100.0,25.0,0.0,1.0,0.1,10.74,10.735086386039816
3.0,100.0,25.0,1000.0,1.0,0.1,10.74,10.73628377160114
0.5,100.0,100.0,0.0,1.0,0.15,11.0,11.000868329411894
0.5,100.0,100.0,1000.0,1.0,0.15,11.0,11.004586033061559
0.5,100.0,25.0,1000.0,1.0,0.15,11.06,11.058581968554027
0.5,100.0,25.0,0.0,1.0,0.15,11.06,11.061918864933773
1.5,25.0,100.0,1000.0,0.5,0.15,11.12,11.118174455279028
1.5,25.0,100.0,0.0,0.5,0.15,11.12,11.120813003332831
1.5,25.0,25.0,0.0,0.5,0.15,11.18,11.179297348811135
1.5,25.0,25.0,1000.0,0.5,0.15,11.19,11.185819392063824
0.5,25.0,100.0,1000.0,0.5,0.2,11.35,11.34578163599167
0.5,25.0,100.0,0.0,0.5,0.2,11.35,11.349658312713885
0.5,25.0,25.0,1000.0,0.5,0.2,11.4,11.403735536966785
0.5,25.0,25.0,0.0,0.5,0.2,11.4,11.40428846021424
1.5,100.0,100.0,1000.0,0.5,0.15,11.52,11.519158791804385
1.5,25.0,100.0,1000.0,1.0,0.15,11.52,11.51923262831238
1.5,25.0,100.0,0.0,1.0,0.15,11.52,11.520895385578056
1.5,100.0,100.0,0.0,0.5,0.15,11.52,11.523333488444699
